date,weather,temp_high,temp_low,temp_mean
20140801,1,36,26,31.0
20140802,1,35,26,30.5
20140803,1,35,25,30.0
20140804,0,34,26,30.0
20140805,1,34,26,30.0
20140806,1,34,26,30.0
20140807,1,32,26,29.0
20140808,1,34,25,29.5
20140809,1,34,25,29.5
20140810,1,33,26,29.5
20140811,1,33,26,29.5
20140812,1,33,25,29.0
20140813,1,30,24,27.0
20140814,1,31,25,28.0
20140815,0,33,25,29.0
20140816,0,34,25,29.5
20140817,0,34,25,29.5
20140818,1,34,25,29.5
20140819,1,32,24,28.0
20140820,1,30,25,27.5
20140821,1,31,25,28.0
20140822,0,33,24,28.5
20140823,0,33,25,29.0
20140824,0,35,25,30.0
20140825,0,35,25,30.0
20140826,0,35,25,30.0
20140827,1,33,25,29.0
20140828,0,33,25,29.0
20140829,0,34,25,29.5
20140830,0,35,25,30.0
20140831,0,34,25,29.5
20140901,0,34,24,29.0
20140902,0,34,24,29.0
20140903,0,34,25,29.5
20140904,1,34,24,29.0
20140905,1,32,24,28.0
20140906,0,34,25,29.5
20140907,0,34,25,29.5
20140908,1,33,25,29.0
20140909,0,34,25,29.5
20140910,0,34,25,29.5
20140911,0,34,25,29.5
20140912,1,34,25,29.5
20140913,1,33,25,29.0
20140914,0,35,25,30.0
20140915,1,35,25,30.0
20140916,1,30,25,27.5
20140917,1,31,25,28.0
20140918,0,33,25,29.0
20140919,0,35,24,29.5
20140920,0,32,23,27.5
20140921,0,29,24,26.5
20140922,0,30,23,26.5
20140923,0,31,23,27.0
20140924,0,32,23,27.5
20140925,0,33,23,28.0
20140926,0,33,24,28.5
20140927,0,33,24,28.5
20140928,0,33,24,28.5
20140929,0,34,24,29.0
20140930,0,33,24,28.5
20141001,0,32,24,28.0
20141002,0,33,23,28.0
20141003,0,33,24,28.5
20141004,0,33,22,27.5
20141005,0,30,20,25.0
20141006,0,30,18,24.0
20141007,0,31,17,24.0
20141008,0,30,18,24.0
20141009,0,30,19,24.5
20141010,0,30,21,25.5
20141011,0,31,19,25.0
20141012,0,30,19,24.5
20141013,0,29,18,23.5
20141014,0,29,17,23.0
20141015,0,30,16,23.0
20141016,0,30,18,24.0
20141017,0,30,18,24.0
20141018,0,30,19,24.5
20141019,0,30,20,25.0
20141020,0,30,20,25.0
20141021,0,31,21,26.0
20141022,0,30,21,25.5
20141023,0,29,20,24.5
20141024,0,27,21,24.0
20141025,0,29,21,25.0
20141026,0,29,22,25.5
20141027,0,30,21,25.5
20141028,0,30,20,25.0
20141029,0,30,21,25.5
20141030,0,31,20,25.5
20141031,0,31,20,25.5
20141101,0,31,20,25.5
20141102,0,26,18,22.0
20141103,0,25,17,21.0
20141104,0,26,17,21.5
20141105,1,27,20,23.5
20141106,0,25,19,22.0
20141107,1,22,16,19.0
20141108,1,19,17,18.0
20141109,0,22,18,20.0
20141110,1,22,17,19.5
20141111,1,23,17,20.0
20141112,1,20,16,18.0
20141113,0,20,16,18.0
20141114,0,23,16,19.5
20141115,0,24,17,20.5
20141116,0,25,15,20.0
20141117,0,23,14,18.5
20141118,0,22,13,17.5
20141119,0,23,14,18.5
20141120,0,24,15,19.5
20141121,0,26,15,20.5
20141122,0,26,17,21.5
20141123,0,28,17,22.5
20141124,0,28,18,23.0
20141125,0,27,16,21.5
20141126,0,25,18,21.5
20141127,0,25,20,22.5
20141128,0,26,21,23.5
20141129,0,26,20,23.0
20141130,1,28,15,21.5
20141201,1,16,11,13.5
20141202,1,14,11,12.5
20141203,1,15,9,12.0
20141204,1,13,9,11.0
20141205,0,17,8,12.5
20141206,0,19,12,15.5
20141207,1,17,11,14.0
20141208,1,17,11,14.0
20141209,0,20,14,17.0
20141210,0,20,12,16.0
20141211,1,15,11,13.0
20141212,0,15,8,11.5
20141213,0,16,8,12.0
20141214,0,18,13,15.5
20141215,0,21,11,16.0
20141216,0,16,6,11.0
20141217,0,15,5,10.0
20141218,1,17,9,13.0
20141219,1,14,7,10.5
20141220,0,18,5,11.5
20141221,0,18,5,11.5
20141222,0,16,8,12.0
20141223,0,17,11,14.0
20141224,0,20,13,16.5
20141225,1,18,13,15.5
20141226,1,17,12,14.5
20141227,1,18,9,13.5
20141228,0,17,7,12.0
20141229,0,18,4,11.0
20141230,0,19,6,12.5
20141231,0,22,8,15.0
20150101,0,19,6,12.5
20150102,0,20,7,13.5
20150103,0,21,8,14.5
20150104,0,23,14,18.5
20150105,0,23,17,20.0
20150106,1,24,14,19.0
20150107,0,17,10,13.5
20150108,0,18,6,12.0
20150109,0,19,10,14.5
20150110,0,19,11,15.0
20150111,1,17,9,13.0
20150112,1,12,9,10.5
20150113,1,15,7,11.0
20150114,0,19,6,12.5
20150115,0,19,5,12.0
20150116,0,20,8,14.0
20150117,0,19,8,13.5
20150118,0,20,8,14.0
20150119,0,20,7,13.5
20150120,0,21,10,15.5
20150121,0,22,9,15.5
20150122,0,22,7,14.5
20150123,0,23,10,16.5
20150124,1,21,14,17.5
20150125,0,23,15,19.0
20150126,0,25,14,19.5
20150127,0,24,14,19.0
20150128,0,21,13,17.0
20150129,0,21,12,16.5
20150130,0,17,8,12.5
20150131,0,17,9,13.0
